"날짜","종가","오픈","고가","저가","변동 %"
"2013년 10월 30일","1,455.22","1,459.86","1,461.77","1,449.71","-0.37%"
"2013년 10월 29일","1,460.64","1,462.17","1,467.50","1,458.90","-0.20%"
"2013년 10월 28일","1,463.51","1,465.77","1,468.49","1,460.94","-0.22%"
"2013년 10월 25일","1,466.78","1,465.39","1,470.13","1,463.05","0.01%"
"2013년 10월 24일","1,466.70","1,456.64","1,468.53","1,453.28","0.59%"
"2013년 10월 23일","1,458.11","1,456.58","1,460.14","1,452.80","0.01%"
"2013년 10월 22일","1,457.95","1,451.96","1,459.45","1,448.43","0.31%"
"2013년 10월 21일","1,453.42","1,450.72","1,455.43","1,449.13","0.14%"
"2013년 10월 18일","1,451.45","1,452.70","1,455.48","1,448.64","-0.14%"
"2013년 10월 17일","1,453.47","1,443.09","1,454.31","1,438.86","0.63%"
"2013년 10월 16일","1,444.43","1,439.19","1,448.10","1,435.71","0.31%"
"2013년 10월 15일","1,439.95","1,452.48","1,454.00","1,434.50","-0.92%"
"2013년 10월 14일","1,453.39","1,450.39","1,457.90","1,450.28","0.17%"
"2013년 10월 11일","1,450.89","1,448.03","1,455.35","1,444.75","0.14%"
"2013년 10월 10일","1,448.86","1,454.37","1,455.62","1,447.22","-0.44%"
"2013년 10월 09일","1,455.25","1,457.84","1,461.93","1,450.28","-0.27%"
"2013년 10월 08일","1,459.24","1,454.53","1,462.30","1,453.22","0.27%"
"2013년 10월 07일","1,455.32","1,451.74","1,457.26","1,449.55","0.18%"
"2013년 10월 04일","1,452.74","1,458.38","1,463.51","1,448.46","-0.49%"
"2013년 10월 03일","1,459.85","1,458.09","1,466.97","1,457.98","0.06%"
"2013년 10월 02일","1,458.97","1,451.13","1,462.19","1,449.81","0.48%"
"2013년 10월 01일","1,452.01","1,452.12","1,457.97","1,450.13","-0.10%"
"2013년 09월 30일","1,453.41","1,448.05","1,457.24","1,446.76","0.00%"
"2013년 09월 27일","1,453.38","1,450.01","1,458.25","1,446.51","0.17%"
"2013년 09월 26일","1,450.95","1,455.86","1,456.89","1,448.29","-0.39%"
"2013년 09월 25일","1,456.57","1,447.36","1,457.87","1,446.72","0.58%"
"2013년 09월 24일","1,448.13","1,448.91","1,453.37","1,446.32","-0.10%"
"2013년 09월 23일","1,449.62","1,457.47","1,459.57","1,447.66","-0.43%"
"2013년 09월 20일","1,455.82","1,448.79","1,457.43","1,446.33","0.42%"
"2013년 09월 19일","1,449.71","1,462.05","1,464.49","1,446.44","-0.90%"
"2013년 09월 18일","1,462.88","1,445.54","1,465.03","1,442.26","1.15%"
"2013년 09월 17일","1,446.24","1,441.64","1,449.34","1,441.43","0.26%"
"2013년 09월 16일","1,442.46","1,444.87","1,453.83","1,441.21","-0.12%"
"2013년 09월 13일","1,444.16","1,439.76","1,447.67","1,439.03","0.25%"
"2013년 09월 12일","1,440.58","1,444.93","1,446.73","1,436.77","-0.37%"
"2013년 09월 11일","1,445.91","1,440.14","1,447.54","1,437.21","0.31%"
"2013년 09월 10일","1,441.45","1,440.34","1,443.83","1,433.16","0.04%"
"2013년 09월 09일","1,440.82","1,437.81","1,443.64","1,430.77","0.06%"
"2013년 09월 06일","1,439.92","1,439.49","1,442.00","1,431.70","-0.02%"
"2013년 09월 05일","1,440.17","1,444.43","1,452.44","1,437.50","-0.37%"
"2013년 09월 04일","1,445.50","1,445.63","1,452.87","1,439.51","-0.10%"
"2013년 09월 03일","1,446.99","1,448.49","1,450.61","1,441.93","-0.17%"
"2013년 09월 02일","1,449.50","1,467.98","1,469.44","1,447.61","-1.25%"
"2013년 08월 30일","1,467.78","1,472.54","1,473.77","1,461.33","-0.38%"
"2013년 08월 29일","1,473.44","1,486.19","1,487.64","1,470.09","-0.92%"
"2013년 08월 28일","1,487.15","1,495.48","1,500.03","1,483.85","-0.64%"
"2013년 08월 27일","1,496.70","1,487.08","1,497.93","1,485.98","0.59%"
"2013년 08월 26일","1,487.91","1,489.95","1,491.89","1,485.81","-0.18%"
"2013년 08월 23일","1,490.66","1,496.99","1,499.16","1,487.49","-0.47%"
"2013년 08월 22일","1,497.70","1,493.15","1,502.97","1,491.14","0.21%"
"2013년 08월 21일","1,494.53","1,503.15","1,505.32","1,490.69","-0.62%"
"2013년 08월 20일","1,503.78","1,490.69","1,507.55","1,489.83","0.81%"
"2013년 08월 19일","1,491.70","1,483.24","1,494.55","1,481.14","0.50%"
"2013년 08월 16일","1,484.22","1,492.08","1,493.53","1,481.46","-0.58%"
"2013년 08월 15일","1,492.92","1,481.80","1,494.93","1,476.36","0.69%"
"2013년 08월 14일","1,482.68","1,482.41","1,487.11","1,480.66","-0.08%"
"2013년 08월 13일","1,483.84","1,481.09","1,487.32","1,479.10","0.13%"
"2013년 08월 12일","1,481.97","1,481.85","1,485.31","1,478.85","-0.07%"
"2013년 08월 09일","1,483.07","1,488.08","1,490.61","1,480.68","-0.39%"
"2013년 08월 08일","1,488.90","1,486.86","1,491.25","1,481.90","0.09%"
"2013년 08월 07일","1,487.57","1,481.92","1,491.08","1,480.60","0.34%"
"2013년 08월 06일","1,482.56","1,476.17","1,485.02","1,474.52","0.37%"
"2013년 08월 05일","1,477.16","1,491.69","1,494.36","1,472.81","-1.08%"
"2013년 08월 02일","1,493.36","1,482.92","1,494.82","1,482.25","0.64%"
"2013년 08월 01일","1,483.80","1,493.92","1,495.59","1,480.75","-0.74%"
"2013년 07월 31일","1,494.80","1,479.59","1,499.74","1,478.81","0.94%"
"2013년 07월 30일","1,480.83","1,474.90","1,483.69","1,473.41","0.35%"
"2013년 07월 29일","1,475.66","1,476.83","1,479.93","1,471.78","-0.17%"
"2013년 07월 26일","1,478.23","1,481.54","1,483.04","1,473.42","-0.28%"
"2013년 07월 25일","1,482.38","1,472.24","1,484.50","1,469.56","0.62%"
"2013년 07월 24일","1,473.18","1,476.57","1,478.18","1,467.56","-0.30%"
"2013년 07월 23일","1,477.57","1,474.58","1,479.34","1,470.00","0.15%"
"2013년 07월 22일","1,475.34","1,472.13","1,479.25","1,469.67","0.15%"
"2013년 07월 19일","1,473.12","1,473.71","1,476.83","1,468.53","-0.11%"
"2013년 07월 18일","1,474.68","1,465.77","1,478.26","1,464.20","0.56%"
"2013년 07월 17일","1,466.47","1,466.63","1,475.97","1,461.19","-0.07%"
"2013년 07월 16일","1,467.45","1,464.84","1,469.64","1,458.72","0.12%"
"2013년 07월 15일","1,465.70","1,468.31","1,471.28","1,458.65","-0.25%"
"2013년 07월 12일","1,469.37","1,471.89","1,474.18","1,462.09","-0.23%"
"2013년 07월 11일","1,472.75","1,471.81","1,498.53","1,461.98","-0.05%"
"2013년 07월 10일","1,473.55","1,458.31","1,474.34","1,450.47","0.95%"
"2013년 07월 09일","1,459.72","1,477.28","1,479.03","1,455.72","-1.23%"
"2013년 07월 08일","1,477.97","1,464.05","1,479.47","1,462.23","0.83%"
"2013년 07월 05일","1,465.81","1,471.18","1,476.53","1,461.88","-0.42%"
"2013년 07월 04일","1,471.93","1,483.92","1,486.50","1,467.44","-0.88%"
"2013년 07월 03일","1,484.96","1,472.31","1,488.14","1,471.40","0.81%"
"2013년 07월 02일","1,473.06","1,482.87","1,484.42","1,470.60","-0.71%"
"2013년 07월 01일","1,483.57","1,484.46","1,490.22","1,473.03","-0.18%"
"2013년 06월 28일","1,486.26","1,496.01","1,499.41","1,482.74","-0.71%"
"2013년 06월 27일","1,496.88","1,502.66","1,504.22","1,491.88","-0.49%"
"2013년 06월 26일","1,504.18","1,508.17","1,513.44","1,500.45","-0.34%"
"2013년 06월 25일","1,509.24","1,523.00","1,526.51","1,505.88","-0.99%"
"2013년 06월 24일","1,524.39","1,515.69","1,527.53","1,512.05","0.43%"
"2013년 06월 21일","1,517.83","1,514.65","1,533.89","1,512.86","0.18%"
"2013년 06월 20일","1,515.14","1,502.49","1,521.05","1,500.11","0.77%"
"2013년 06월 19일","1,503.59","1,518.97","1,522.55","1,498.65","-1.07%"
"2013년 06월 18일","1,519.80","1,506.89","1,522.30","1,505.58","0.79%"
"2013년 06월 17일","1,507.93","1,503.68","1,509.51","1,499.41","0.19%"
"2013년 06월 14일","1,505.14","1,510.33","1,511.22","1,496.77","-0.43%"
"2013년 06월 13일","1,511.71","1,503.93","1,520.10","1,499.68","0.46%"
"2013년 06월 12일","1,504.82","1,507.66","1,511.91","1,496.23","-0.25%"
"2013년 06월 11일","1,508.61","1,494.20","1,510.20","1,493.30","0.87%"
"2013년 06월 10일","1,495.58","1,475.33","1,497.30","1,472.43","1.20%"
"2013년 06월 07일","1,477.83","1,481.98","1,484.76","1,465.25","-0.31%"
"2013년 06월 06일","1,482.41","1,464.52","1,489.01","1,462.39","1.17%"
"2013년 06월 05일","1,465.22","1,468.77","1,471.07","1,456.78","-0.29%"
"2013년 06월 04일","1,469.41","1,463.54","1,470.77","1,462.19","0.33%"
"2013년 06월 03일","1,464.63","1,453.27","1,478.48","1,453.27","-0.40%"
"2013년 05월 31일","1,470.53","1,472.68","1,475.24","1,462.87","-0.19%"
"2013년 05월 30일","1,473.38","1,464.75","1,477.10","1,458.40","0.54%"
"2013년 05월 29일","1,465.51","1,450.02","1,470.91","1,448.10","1.04%"
"2013년 05월 28일","1,450.44","1,450.96","1,458.72","1,447.27","-0.08%"
"2013년 05월 27일","1,451.63","1,457.38","1,461.49","1,448.23","-0.50%"
"2013년 05월 24일","1,458.96","1,459.52","1,464.96","1,450.88","-0.09%"
"2013년 05월 23일","1,460.22","1,431.97","1,462.47","1,429.52","1.94%"
"2013년 05월 22일","1,432.45","1,432.99","1,448.42","1,429.18","-0.15%"
"2013년 05월 21일","1,434.56","1,439.70","1,443.73","1,426.04","-0.40%"
"2013년 05월 20일","1,440.26","1,431.18","1,442.39","1,430.39","0.31%"
"2013년 05월 17일","1,435.75","1,439.39","1,441.73","1,429.61","-0.29%"
"2013년 05월 16일","1,439.87","1,436.19","1,445.24","1,432.39","0.22%"
"2013년 05월 15일","1,436.67","1,433.41","1,443.01","1,431.40","0.17%"
"2013년 05월 14일","1,434.21","1,444.27","1,448.38","1,432.96","-0.71%"
"2013년 05월 13일","1,444.53","1,432.93","1,448.38","1,431.72","0.51%"
"2013년 05월 10일","1,437.22","1,423.59","1,445.03","1,422.18","0.91%"
"2013년 05월 09일","1,424.32","1,428.20","1,437.55","1,420.10","-0.33%"
"2013년 05월 08일","1,429.02","1,425.39","1,433.69","1,420.03","0.22%"
"2013년 05월 07일","1,425.95","1,431.12","1,432.90","1,424.74","-0.41%"
"2013년 05월 06일","1,431.80","1,438.50","1,440.60","1,428.33","-0.53%"
"2013년 05월 03일","1,439.38","1,439.65","1,443.95","1,428.33","-0.07%"
"2013년 05월 02일","1,440.40","1,450.35","1,455.79","1,435.88","-0.76%"
"2013년 05월 01일","1,451.39","1,449.79","1,459.07","1,448.90","0.06%"
"2013년 04월 30일","1,450.49","1,445.63","1,453.05","1,438.03","0.28%"
"2013년 04월 29일","1,446.49","1,446.97","1,452.07","1,443.21","-0.09%"
"2013년 04월 26일","1,447.77","1,445.98","1,450.98","1,438.97","0.07%"
"2013년 04월 25일","1,446.78","1,453.50","1,455.74","1,443.91","-0.50%"
"2013년 04월 24일","1,454.12","1,454.72","1,458.47","1,448.11","-0.09%"
"2013년 04월 23일","1,455.45","1,462.53","1,466.54","1,451.97","-0.54%"
"2013년 04월 22일","1,463.32","1,463.47","1,470.99","1,456.54","0.15%"
"2013년 04월 19일","1,461.14","1,461.15","1,469.88","1,456.87","-0.01%"
"2013년 04월 18일","1,461.32","1,460.49","1,467.45","1,458.12","0.00%"
"2013년 04월 17일","1,461.26","1,467.57","1,476.25","1,456.16","-0.47%"
"2013년 04월 16일","1,468.13","1,460.04","1,470.71","1,452.51","0.48%"
"2013년 04월 15일","1,461.13","1,480.23","1,481.87","1,457.58","-1.32%"
"2013년 04월 12일","1,480.61","1,480.07","1,486.85","1,472.08","-0.01%"
"2013년 04월 11일","1,480.70","1,483.33","1,484.87","1,468.87","-0.23%"
"2013년 04월 10일","1,484.06","1,489.81","1,493.40","1,481.63","-0.45%"
"2013년 04월 09일","1,490.70","1,486.35","1,494.12","1,481.24","0.21%"
"2013년 04월 08일","1,487.53","1,477.70","1,487.76","1,472.56","0.65%"
"2013년 04월 05일","1,477.90","1,453.71","1,483.65","1,451.94","1.58%"
"2013년 04월 04일","1,454.93","1,435.11","1,456.73","1,432.88","1.34%"
"2013년 04월 03일","1,435.63","1,433.44","1,440.14","1,429.04","0.16%"
"2013년 04월 02일","1,433.27","1,431.48","1,439.04","1,428.11","0.10%"
"2013년 04월 01일","1,431.81","1,423.14","1,434.53","1,421.92","0.49%"
"2013년 03월 29일","1,424.81","1,426.49","1,429.91","1,421.21","-0.17%"
"2013년 03월 28일","1,427.20","1,420.04","1,430.33","1,416.09","0.44%"
"2013년 03월 27일","1,421.01","1,423.75","1,429.47","1,416.64","-0.21%"
"2013년 03월 26일","1,424.05","1,427.41","1,431.59","1,419.37","-0.34%"
"2013년 03월 25일","1,428.95","1,451.38","1,460.91","1,425.30","-1.71%"
"2013년 03월 22일","1,453.76","1,438.70","1,456.34","1,437.91","0.94%"
"2013년 03월 21일","1,440.17","1,443.34","1,447.24","1,436.65","-0.22%"
"2013년 03월 20일","1,443.31","1,431.56","1,448.43","1,430.56","0.71%"
"2013년 03월 19일","1,433.19","1,444.00","1,444.85","1,429.34","-0.74%"
"2013년 03월 18일","1,443.86","1,433.92","1,448.64","1,430.59","-0.60%"
"2013년 03월 15일","1,452.55","1,439.96","1,456.39","1,437.85","0.84%"
"2013년 03월 14일","1,440.45","1,423.33","1,443.65","1,422.89","1.19%"
"2013년 03월 13일","1,423.55","1,426.93","1,435.41","1,419.38","-0.28%"
"2013년 03월 12일","1,427.53","1,426.66","1,431.92","1,422.73","-0.02%"
"2013년 03월 11일","1,427.76","1,415.24","1,433.01","1,413.50","0.80%"
"2013년 03월 08일","1,416.38","1,425.16","1,431.13","1,410.99","-0.63%"
"2013년 03월 07일","1,425.38","1,407.33","1,427.00","1,405.70","1.16%"
"2013년 03월 06일","1,409.05","1,417.27","1,418.45","1,407.87","-0.59%"
"2013년 03월 05일","1,417.40","1,420.69","1,423.00","1,413.64","-0.23%"
"2013년 03월 04일","1,420.66","1,410.26","1,424.23","1,409.29","0.59%"
"2013년 03월 01일","1,412.38","1,415.79","1,421.26","1,405.28","-0.32%"
"2013년 02월 28일","1,416.87","1,425.05","1,428.31","1,414.60","-0.63%"
"2013년 02월 27일","1,425.80","1,422.78","1,426.34","1,413.75","0.13%"
"2013년 02월 26일","1,423.89","1,420.60","1,430.88","1,416.90","0.29%"
"2013년 02월 25일","1,419.78","1,433.76","1,445.49","1,416.90","-0.82%"
"2013년 02월 22일","1,431.48","1,433.05","1,438.64","1,426.51","-0.16%"
"2013년 02월 21일","1,433.81","1,434.65","1,441.89","1,430.23","-0.09%"
"2013년 02월 20일","1,435.14","1,445.90","1,449.82","1,433.03","-0.79%"
"2013년 02월 19일","1,446.57","1,446.33","1,448.61","1,439.35","-0.00%"
"2013년 02월 18일","1,446.64","1,438.81","1,448.62","1,437.51","0.32%"
"2013년 02월 15일","1,442.09","1,449.20","1,452.61","1,434.57","-0.52%"
"2013년 02월 14일","1,449.63","1,460.21","1,461.79","1,442.82","-0.81%"
"2013년 02월 13일","1,461.41","1,470.48","1,472.55","1,457.65","-0.61%"
"2013년 02월 12일","1,470.43","1,468.30","1,473.49","1,457.68","0.06%"
"2013년 02월 11일","1,469.57","1,463.59","1,471.66","1,463.15","0.33%"
"2013년 02월 08일","1,464.75","1,460.26","1,472.07","1,458.24","0.27%"
"2013년 02월 07일","1,460.86","1,472.22","1,478.45","1,457.42","-0.82%"
"2013년 02월 06일","1,473.01","1,475.34","1,483.26","1,469.74","-0.20%"
"2013년 02월 05일","1,475.91","1,472.15","1,477.70","1,460.86","0.19%"
"2013년 02월 04일","1,473.09","1,496.53","1,498.99","1,470.95","-1.46%"
"2013년 02월 01일","1,494.88","1,476.38","1,501.67","1,475.59","1.16%"
"2013년 01월 31일","1,477.74","1,473.17","1,481.39","1,470.76","0.28%"
"2013년 01월 30일","1,473.62","1,462.16","1,476.98","1,454.65","0.74%"
"2013년 01월 29일","1,462.86","1,468.24","1,470.62","1,452.16","-0.42%"
"2013년 01월 28일","1,469.07","1,446.86","1,473.06","1,446.32","1.50%"
"2013년 01월 25일","1,447.35","1,428.85","1,449.83","1,427.78","1.22%"
"2013년 01월 24일","1,429.89","1,421.06","1,431.14","1,418.61","0.57%"
"2013년 01월 23일","1,421.72","1,415.66","1,423.93","1,414.60","0.35%"
"2013년 01월 22일","1,416.80","1,416.20","1,423.49","1,410.81","0.01%"
"2013년 01월 21일","1,416.60","1,407.46","1,418.54","1,407.25","0.53%"
"2013년 01월 18일","1,409.14","1,415.05","1,416.90","1,405.41","-0.43%"
"2013년 01월 17일","1,415.17","1,406.23","1,416.44","1,403.32","0.57%"
"2013년 01월 16일","1,407.14","1,406.39","1,410.97","1,403.61","0.01%"
"2013년 01월 15일","1,407.05","1,412.08","1,415.27","1,403.04","-0.43%"
"2013년 01월 14일","1,413.06","1,411.08","1,416.24","1,408.05","0.27%"
"2013년 01월 11일","1,409.31","1,403.29","1,411.81","1,397.09","0.45%"
"2013년 01월 10일","1,402.97","1,385.07","1,404.53","1,382.45","1.24%"
"2013년 01월 09일","1,385.74","1,391.54","1,392.70","1,381.78","-0.48%"
"2013년 01월 08일","1,392.49","1,394.28","1,397.01","1,387.21","-0.12%"
"2013년 01월 07일","1,394.12","1,388.96","1,394.88","1,383.64","0.39%"
"2013년 01월 04일","1,388.70","1,387.26","1,390.62","1,382.62","0.09%"
"2013년 01월 03일","1,387.43","1,401.54","1,404.30","1,386.83","-1.07%"
"2013년 01월 02일","1,402.38","1,403.48","1,416.20","1,398.77","-0.05%"
"2013년 01월 01일","1,403.10","1,402.31","1,406.39","1,401.24","-0.04%"
"2012년 12월 31일","1,403.63","1,409.91","1,413.05","1,400.29","-0.56%"
"2012년 12월 28일","1,411.58","1,418.81","1,424.04","1,404.98","-0.59%"
"2012년 12월 27일","1,419.90","1,418.51","1,424.10","1,414.82","0.01%"
"2012년 12월 26일","1,419.76","1,414.54","1,422.71","1,413.63","0.28%"
"2012년 12월 25일","1,415.84","1,415.29","1,417.88","1,413.03","-0.00%"
"2012년 12월 24일","1,415.89","1,416.84","1,421.04","1,413.67","-0.19%"
"2012년 12월 21일","1,418.62","1,422.59","1,424.38","1,414.80","-0.31%"
"2012년 12월 20일","1,423.09","1,418.15","1,428.78","1,413.65","0.23%"
"2012년 12월 19일","1,419.78","1,418.60","1,428.38","1,418.00","0.08%"
"2012년 12월 18일","1,418.66","1,410.86","1,420.49","1,408.38","0.49%"
"2012년 12월 17일","1,411.68","1,415.33","1,418.08","1,409.09","-0.24%"
"2012년 12월 14일","1,415.01","1,404.02","1,416.41","1,402.27","0.72%"
"2012년 12월 13일","1,404.87","1,403.41","1,407.56","1,398.28","0.14%"
"2012년 12월 12일","1,402.93","1,397.84","1,406.04","1,395.94","0.34%"
"2012년 12월 11일","1,398.20","1,394.41","1,399.49","1,392.45","0.22%"
"2012년 12월 10일","1,395.11","1,393.91","1,396.35","1,389.80","-0.27%"
"2012년 12월 07일","1,398.83","1,404.39","1,406.04","1,393.72","-0.45%"
"2012년 12월 06일","1,405.14","1,413.84","1,418.35","1,402.56","-0.73%"
"2012년 12월 05일","1,415.45","1,418.27","1,421.82","1,412.24","-0.29%"
"2012년 12월 04일","1,419.57","1,413.18","1,421.14","1,412.64","0.40%"
"2012년 12월 03일","1,413.88","1,403.68","1,416.94","1,403.46","0.42%"
"2012년 11월 30일","1,407.95","1,405.06","1,411.91","1,403.86","0.16%"
"2012년 11월 29일","1,405.69","1,404.12","1,410.48","1,401.84","0.09%"
"2012년 11월 28일","1,404.47","1,405.29","1,407.30","1,401.15","-0.11%"
"2012년 11월 27일","1,405.97","1,408.16","1,412.86","1,401.88","-0.18%"
"2012년 11월 26일","1,408.57","1,406.38","1,409.69","1,404.61","0.02%"
"2012년 11월 23일","1,408.23","1,398.08","1,410.29","1,395.43","0.67%"
"2012년 11월 22일","1,398.86","1,387.67","1,399.98","1,387.56","0.75%"
"2012년 11월 21일","1,388.41","1,387.22","1,389.62","1,379.56","0.01%"
"2012년 11월 20일","1,388.24","1,391.60","1,392.41","1,381.82","-0.28%"
"2012년 11월 19일","1,392.13","1,392.08","1,394.25","1,384.92","0.02%"
"2012년 11월 16일","1,391.79","1,390.86","1,395.85","1,384.49","0.04%"
"2012년 11월 15일","1,391.20","1,383.02","1,393.45","1,381.96","0.52%"
"2012년 11월 14일","1,383.99","1,384.13","1,388.68","1,378.32","-0.04%"
"2012년 11월 13일","1,384.48","1,384.75","1,387.87","1,380.03","-0.07%"
"2012년 11월 12일","1,385.45","1,382.54","1,387.14","1,381.72","0.17%"
"2012년 11월 09일","1,383.12","1,388.33","1,392.39","1,380.15","-0.41%"
"2012년 11월 08일","1,388.78","1,387.13","1,393.22","1,384.74","0.05%"
"2012년 11월 07일","1,388.15","1,396.50","1,398.34","1,381.99","-0.63%"
"2012년 11월 06일","1,397.02","1,395.13","1,398.66","1,391.68","0.04%"
"2012년 11월 05일","1,396.40","1,398.39","1,402.84","1,392.66","-0.35%"
"2012년 11월 02일","1,401.24","1,410.70","1,415.96","1,398.17","-0.74%"
"2012년 11월 01일","1,411.65","1,412.10","1,416.62","1,409.39","-0.10%"
"2012년 10월 31일","1,413.06","1,414.02","1,419.62","1,411.63","-0.10%"
"2012년 10월 30일","1,414.44","1,415.72","1,417.13","1,406.12","-0.18%"
"2012년 10월 29일","1,416.93","1,419.78","1,420.88","1,411.61","-0.28%"
"2012년 10월 26일","1,420.88","1,420.70","1,422.23","1,413.01","0.03%"
"2012년 10월 25일","1,420.52","1,430.80","1,432.05","1,419.17","-0.79%"
"2012년 10월 24일","1,431.84","1,432.04","1,435.37","1,425.27","-0.07%"
"2012년 10월 23일","1,432.78","1,442.51","1,444.11","1,428.51","-0.70%"
"2012년 10월 22일","1,442.94","1,439.49","1,445.10","1,437.60","0.20%"
"2012년 10월 19일","1,440.07","1,443.34","1,446.51","1,437.60","-0.27%"
"2012년 10월 18일","1,443.91","1,448.50","1,449.62","1,442.01","-0.38%"
"2012년 10월 17일","1,449.37","1,448.44","1,452.29","1,445.27","0.14%"
"2012년 10월 16일","1,447.37","1,437.12","1,447.59","1,433.60","0.68%"
"2012년 10월 15일","1,437.60","1,438.65","1,441.16","1,431.94","-0.11%"
"2012년 10월 12일","1,439.24","1,438.33","1,443.99","1,434.79","-0.01%"
"2012년 10월 11일","1,439.33","1,432.57","1,441.54","1,430.12","0.40%"
"2012년 10월 10일","1,433.62","1,430.92","1,439.16","1,427.58","0.14%"
"2012년 10월 09일","1,431.60","1,440.96","1,443.43","1,428.70","-0.69%"
"2012년 10월 08일","1,441.53","1,445.10","1,446.68","1,438.70","-0.40%"
"2012년 10월 05일","1,447.32","1,447.13","1,450.63","1,441.65","-0.07%"
"2012년 10월 04일","1,448.30","1,436.48","1,449.37","1,436.15","0.77%"
"2012년 10월 03일","1,437.26","1,437.40","1,440.51","1,432.94","-0.08%"
"2012년 10월 02일","1,438.39","1,432.69","1,443.66","1,432.35","0.32%"
"2012년 10월 01일","1,433.85","1,429.85","1,440.11","1,424.62","0.15%"
"2012년 09월 28일","1,431.74","1,441.24","1,442.57","1,428.58","-0.72%"
"2012년 09월 27일","1,442.18","1,440.13","1,443.63","1,431.95","0.10%"
"2012년 09월 26일","1,440.68","1,442.35","1,446.99","1,436.38","-0.16%"
"2012년 09월 25일","1,442.96","1,448.25","1,451.26","1,441.57","-0.43%"
"2012년 09월 24일","1,449.14","1,451.90","1,455.12","1,443.83","-0.25%"
"2012년 09월 21일","1,452.72","1,449.45","1,460.45","1,449.23","0.15%"
"2012년 09월 20일","1,450.57","1,455.37","1,459.93","1,448.52","-0.39%"
"2012년 09월 19일","1,456.28","1,458.82","1,460.37","1,448.77","-0.22%"
"2012년 09월 18일","1,459.44","1,463.52","1,467.17","1,456.70","-0.34%"
"2012년 09월 17일","1,464.40","1,465.71","1,470.10","1,459.65","-0.14%"
"2012년 09월 14일","1,466.51","1,464.99","1,471.20","1,453.85","0.05%"
"2012년 09월 13일","1,465.77","1,453.24","1,467.69","1,450.79","0.81%"
"2012년 09월 12일","1,454.01","1,449.40","1,457.96","1,443.44","0.26%"
"2012년 09월 11일","1,450.20","1,439.92","1,452.34","1,438.61","0.70%"
"2012년 09월 10일","1,440.15","1,447.11","1,447.91","1,439.24","-0.61%"
"2012년 09월 07일","1,448.99","1,431.55","1,448.99","1,425.65","1.14%"
"2012년 09월 06일","1,432.72","1,431.42","1,435.36","1,423.50","0.01%"
"2012년 09월 05일","1,432.59","1,423.79","1,435.21","1,419.37","0.57%"
"2012년 09월 04일","1,424.52","1,423.59","1,431.34","1,422.62","-0.03%"
"2012년 09월 03일","1,424.91","1,425.55","1,427.34","1,420.26","-0.10%"
"2012년 08월 31일","1,426.31","1,418.07","1,433.21","1,417.00","0.48%"
"2012년 08월 30일","1,419.45","1,421.77","1,425.46","1,416.14","-0.21%"
"2012년 08월 29일","1,422.46","1,425.45","1,427.27","1,420.26","-0.28%"
"2012년 08월 28일","1,426.49","1,418.08","1,428.32","1,417.67","0.52%"
"2012년 08월 27일","1,419.12","1,418.48","1,423.67","1,417.43","-0.05%"
"2012년 08월 24일","1,419.86","1,421.37","1,426.25","1,415.60","-0.16%"
"2012년 08월 23일","1,422.12","1,422.63","1,425.31","1,415.57","-0.05%"
"2012년 08월 22일","1,422.85","1,409.73","1,424.33","1,408.83","0.86%"
"2012년 08월 21일","1,410.65","1,401.04","1,412.53","1,396.90","0.59%"
"2012년 08월 20일","1,402.42","1,400.24","1,404.99","1,395.44","0.13%"
"2012년 08월 17일","1,400.54","1,400.06","1,404.93","1,394.23","-0.00%"
"2012년 08월 16일","1,400.55","1,388.46","1,402.59","1,387.90","0.78%"
"2012년 08월 15일","1,389.65","1,391.92","1,395.60","1,385.70","-0.23%"
"2012년 08월 14일","1,392.88","1,391.72","1,397.76","1,390.93","0.03%"
"2012년 08월 13일","1,392.50","1,389.24","1,396.76","1,386.10","0.15%"
"2012년 08월 10일","1,390.47","1,386.10","1,393.30","1,383.34","0.24%"
"2012년 08월 09일","1,387.18","1,396.91","1,399.00","1,381.04","-0.73%"
"2012년 08월 08일","1,397.42","1,399.25","1,400.79","1,393.03","-0.14%"
"2012년 08월 07일","1,399.38","1,398.07","1,404.59","1,394.04","0.03%"
"2012년 08월 06일","1,398.90","1,406.33","1,412.27","1,392.54","-0.51%"
"2012년 08월 03일","1,406.10","1,378.38","1,406.46","1,377.47","1.95%"
"2012년 08월 02일","1,379.26","1,377.56","1,404.26","1,372.83","0.05%"
"2012년 08월 01일","1,378.53","1,389.78","1,391.20","1,376.21","-0.89%"
"2012년 07월 31일","1,390.95","1,394.00","1,395.17","1,384.24","-0.27%"
"2012년 07월 30일","1,394.78","1,400.32","1,401.44","1,390.02","-0.59%"
"2012년 07월 27일","1,403.05","1,407.38","1,410.91","1,393.46","-0.36%"
"2012년 07월 26일","1,408.11","1,395.84","1,413.71","1,388.84","0.82%"
"2012년 07월 25일","1,396.68","1,385.77","1,400.70","1,384.39","0.74%"
"2012년 07월 24일","1,386.37","1,392.50","1,394.85","1,383.13","-0.58%"
"2012년 07월 23일","1,394.43","1,384.10","1,397.50","1,383.42","0.38%"
"2012년 07월 20일","1,389.13","1,397.04","1,401.64","1,387.42","-0.62%"
"2012년 07월 19일","1,397.78","1,402.38","1,403.62","1,391.80","-0.40%"
"2012년 07월 18일","1,403.45","1,406.65","1,408.41","1,396.24","-0.31%"
